Artista;Estado;Gęnero;Medias_de_cache
Gusttavo Lima;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";sertanejo;$$$$$ - Acima de 500 mil reais
Maiara & Maraisa;"RS , SC";sertanejo;$$$$ - 250 a 500 mil reais
Gloria Groove;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";pop;$$$ - 100 a 250 mil reais
Murilo Huff;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";sertanejo;$$$$ - 250 a 500 mil reais
Gustavo Mioto;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";sertanejo;$$$$ - 250 a 500 mil reais
Mc Pedrinho;"SP , RJ";funk;$$$$ - 100 a 250 mil reais
MC Hariel;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";funk;$$$ - 100 a 250 mil reais
MC JottaPę;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";funk;$$ - 10 a 50 mil reais
Melody;"AC , AL , AP , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";funk;$ - 10 a 50 mil reais
Dennis DJ;RJ;funk;$$$$ - 250 a 500 mil reais
Gaab;"AC , AL , AP , AM , BA , CE , DF , ES , GO , MA , MT , MS , MG , PA , PB , PR , PE , PI , RJ , RN , RS , RO , RR , SC , SP , SE , TO";funk;$ - 10 a 50 mil reais
Chimarruts;"SC , RS";reggae;$ - 10 a 50 mil reais
